"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","arrival_time_sort","timepoint"
"296100047","07:10:00","07:10:00","140","1","L.A. Union Station","0","07:10:00","1"
"296100047","07:17:00","07:17:00","156","2","L.A. Union Station","0","07:17:00","1"
"296100047","07:24:00","07:24:00","154","3","L.A. Union Station","0","07:24:00","1"
"296100047","07:29:00","07:29:00","145","4","L.A. Union Station","0","07:29:00","1"
"296100047","07:34:00","07:34:00","128","5","L.A. Union Station","0","07:34:00","1"
"296100047","07:42:00","07:42:00","174","6","L.A. Union Station","0","07:42:00","1"
"296100047","07:47:00","07:47:00","130","7","L.A. Union Station","0","07:47:00","1"
"296100047","07:55:00","07:55:00","143","8","L.A. Union Station","0","07:55:00","1"
"296100047","08:22:00","08:22:00","107","9","L.A. Union Station","0","08:22:00","1"
"296100048","06:34:00","06:34:00","144","1","L.A. Union Station","0","06:34:00","1"
"296100048","06:59:00","06:59:00","152","2","L.A. Union Station","0","06:59:00","1"
"296100048","07:08:00","07:08:00","153","3","L.A. Union Station","0","07:08:00","1"
"296100048","07:14:00","07:14:00","141","4","L.A. Union Station","0","07:14:00","1"
"296100048","07:24:00","07:24:00","140","5","L.A. Union Station","0","07:24:00","1"
"296100048","07:31:00","07:31:00","156","6","L.A. Union Station","0","07:31:00","1"
"296100048","07:37:00","07:37:00","154","7","L.A. Union Station","0","07:37:00","1"
"296100048","07:43:00","07:43:00","145","8","L.A. Union Station","0","07:43:00","1"
"296100048","07:48:00","07:48:00","128","9","L.A. Union Station","0","07:48:00","1"
"296100048","07:56:00","07:56:00","174","10","L.A. Union Station","0","07:56:00","1"
"296100048","08:02:00","08:02:00","130","11","L.A. Union Station","0","08:02:00","1"
"296100048","08:09:00","08:09:00","143","12","L.A. Union Station","0","08:09:00","1"
"296100048","08:19:00","08:19:00","135","13","L.A. Union Station","0","08:19:00","1"
"296100048","08:39:00","08:39:00","107","14","L.A. Union Station","0","08:39:00","1"
"296100049","08:03:00","08:03:00","141","1","L.A. Union Station","0","08:03:00","1"
"296100049","08:14:00","08:14:00","140","2","L.A. Union Station","0","08:14:00","1"
"296100049","08:21:00","08:21:00","156","3","L.A. Union Station","0","08:21:00","1"
"296100049","08:28:00","08:28:00","154","4","L.A. Union Station","0","08:28:00","1"
"296100049","08:33:00","08:33:00","145","5","L.A. Union Station","0","08:33:00","1"
